Location,Price,Bedrooms,Bathrooms,Size
Nipomo,239000,3,2,1106
Atascadero,187500,1,1,594
Los Alamos,445000,5,3,3200
Santa Maria-Orcutt,309000,3,2,1906
Santa Maria-Orcutt,315000,3,2,2004
Santa Maria-Orcutt,191100,3,1,1200
Cambria,699900,5,3,1818
Nipomo,189500,2,2,1040
Santa Maria-Orcutt,199000,4,2,1400
Santa Maria-Orcutt,359000,4,3,2209
Atascadero,264450,3,1,1030
Templeton,459000,3,2,1999
Santa Maria-Orcutt,150000,3,2,1316
Pismo Beach,875000,3,3,2200
Pismo Beach,599000,2,2,1200
Atascadero,250000,3,3,1261
Lompoc,165000,3,2,1120
Santa Maria-Orcutt,229900,4,3,1857
Santa Maria-Orcutt,229900,3,2,1400
Paso Robles,269900,3,2,1139
Santa Maria-Orcutt,245000,5,3,6098
Santa Maria-Orcutt,165000,3,2,1300
Lompoc,429000,3,3,2041
Santa Maria-Orcutt,309900,4,3,2248
Arroyo Grande,265000,2,1,972
Santa Maria-Orcutt,169900,4,2,1500
Santa Maria-Orcutt,380900,3,2,2000
Santa Maria-Orcutt,315000,4,3,1939
Lompoc,260000,3,2,1413
Santa Maria-Orcutt,119900,3,2,1312
Santa Maria-Orcutt,211500,3,2,1275
Santa Maria-Orcutt,149000,2,1,854
San Luis Obispo,890000,3,3,3474
Cambria,289900,3,2,1380
Santa Maria-Orcutt,289000,4,3,2100
Oceano,399900,3,2,1487
Santa Maria-Orcutt,125000,3,2,900
Nipomo,359900,5,3,3036
Santa Maria-Orcutt,239000,3,3,1800
Santa Maria-Orcutt,199900,3,3,1600
Santa Maria-Orcutt,179900,4,3,2150
Santa Maria-Orcutt,195000,3,2,1300
San Luis Obispo,299000,2,2,896
Santa Maria-Orcutt,265000,2,3,1700
Nipomo,699000,3,2,1700
Grover Beach,275000,2,2,1194
Paso Robles,169990,3,2,1465
Santa Maria-Orcutt,189000,3,3,1530
Santa Ynez,695000,4,2,2032
Santa Maria-Orcutt,105000,2,2,1088
Santa Maria-Orcutt,365000,4,4,4000
Paso Robles,335900,3,3,1296
Lompoc,170000,3,2,944
Santa Maria-Orcutt,339900,4,2,2100
Santa Maria-Orcutt,359900,3,3,2340
Santa Maria-Orcutt,143000,3,2,1080
Santa Maria-Orcutt,199000,3,2,1196
San Luis Obispo,374800,3,3,1365
Los Osos,499000,3,2,2120
Atascadero,138900,2,1,1055
Avila Beach,1999000,4,5,5307
Paso Robles,359000,3,2,1774
Santa Maria-Orcutt,294900,4,2,1856
Atascadero,299500,4,2,1836
Santa Maria-Orcutt,427900,4,3,2367
Nipomo,269000,3,2,1181
Bradley,449000,3,3,2563
Santa Maria-Orcutt,144900,2,2,1130
Santa Maria-Orcutt,345000,3,3,2020
Paso Robles,239000,4,2,1240
Los Osos,310000,2,1,780
